"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"Central Zone Total","43325279","3403785","7.86%","1830255","4.22%","504151","1.16%","1075598","2.48%","1172431","873318","33120450","76.45%","7091140","16.37%","3088903","7.13%"
"State Total","26015592","2241335","8.62%","1043961","4.01%","399196","1.53%","804289","3.09%","756362","678941","18635376","71.63%","5223264","20.08%","2136161","8.21%"
"Saharanpur (01)","418340","26559","6.35%","5987","1.43%","3830","0.92%","16748","4%","8605","17973","263679","63.03%","122052","29.18%","32609","7.79%"
"Muzaffarnagar (02)","502344","29259","5.82%","6410","1.28%","5409","1.08%","17500","3.48%","10453","29890","253276","50.42%","178459","35.53%","70498","14.03%"
"Bijnor (03)","495304","29921","6.04%","10016","2.02%","7444","1.5%","12627","2.55%","7224","12347","345605","69.78%","112343","22.68%","37355","7.54%"
"Moradabad (04)","521305","42986","8.25%","12998","2.49%","14660","2.81%","15328","2.94%","10534","11895","356127","68.31%","124792","23.94%","40386","7.75%"
"Rampur (05)","299340","10635","3.55%","1213","0.41%","1605","0.54%","7817","2.61%","1525","11175","229682","76.73%","61088","20.41%","8497","2.84%"
"Jyotiba Phule Nagar (06)","228537","41868","18.32%","4053","1.77%","6832","2.99%","32129","14.06%","7140","11529","143248","62.68%","64818","28.36%","20383","8.92%"
"Meerut (07)","261180","25959","9.94%","13010","4.98%","5477","2.1%","7473","2.86%","8903","4058","157402","60.27%","74438","28.5%","29340","11.23%"
"Baghpat (08)","161232","19480","12.08%","4956","3.07%","5256","3.26%","9268","5.75%","10717","17239","66013","40.94%","80579","49.98%","14640","9.08%"
"Ghaziabad (09)","295081","91280","30.93%","22089","7.49%","10157","3.44%","61410","20.81%","20601","29515","140940","47.76%","103331","35.02%","44556","15.1%"
"Gautam Buddha Nagar (10)","289590","115712","39.96%","15399","5.32%","15390","5.31%","84923","29.33%","23385","46665","121578","41.98%","94037","32.47%","73528","25.39%"
"Bulandshahr (11)","427475","41577","9.73%","23736","5.55%","7502","1.75%","10376","2.43%","13285","8246","283071","66.22%","102467","23.97%","41937","9.81%"
"Aligarh (12)","418563","34277","8.19%","19920","4.76%","8569","2.05%","5788","1.38%","13319","5767","296277","70.78%","88573","21.16%","33713","8.05%"
"Mahamaya Nagar (13)","199901","17592","8.8%","11077","5.54%","2352","1.18%","4185","2.09%","7495","12527","131569","65.82%","43415","21.72%","24917","12.46%"
"Mathura (14)","294772","32787","11.12%","16751","5.68%","8269","2.81%","7767","2.63%","11059","6049","173603","58.89%","83067","28.18%","38102","12.93%"
"Agra (15)","375187","51613","13.76%","11554","3.08%","14958","3.99%","26348","7.02%","48202","26580","229625","61.2%","105550","28.13%","39483","10.52%"
