,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,12901,General,2,0,1.0,0,2,3.0,1,4,1.0,,,
1,12902,General,2,0,1.0,0,2,3.0,1,4,1.0,,,
2,12903,General,2,0,1.0,0,2,3.0,1,4,1.0,,,
3,12904,General,2,0,1.0,0,2,3.0,1,4,1.0,,,
4,12905,General,2,0,1.0,0,2,3.0,1,4,1.0,,,
5,12906,General,2,0,1.0,0,2,1.0,1,2,1.0,,,
6,12907,General,2,0,1.0,0,2,1.0,1,2,1.0,,,
7,12908,General,2,0,1.0,0,2,1.0,1,2,4.0,,,
8,12909,General,4,3,3.0,0,2,1.0,3,2,4.0,,,
9,12910,General,4,3,3.0,0,2,1.0,3,2,4.0,,,
10,12911,General,4,3,3.0,2,2,1.0,3,2,4.0,,,
11,12912,General,4,3,3.0,2,4,1.0,3,2,4.0,,,
12,12913,General,4,3,3.0,0,4,1.0,3,0,2.0,,,
13,12914,General,4,3,3.0,2,4,1.0,2,0,2.0,,,
14,12915,General,4,3,3.0,2,4,4.0,2,0,2.0,,,
15,12916,General,1,1,0.0,2,4,4.0,2,0,2.0,,,
16,12917,General,1,1,0.0,2,4,4.0,2,0,2.0,,,
17,12918,General,1,1,0.0,2,4,4.0,2,0,2.0,,,
18,12919,General,1,1,0.0,2,4,4.0,2,0,2.0,,,
19,12920,General,1,1,0.0,1,3,0.0,2,0,3.0,,,
20,12921,General,0,1,0.0,2,3,0.0,4,0,3.0,,,
21,12922,General,0,1,0.0,1,3,0.0,4,0,3.0,,,
22,12923,General,0,1,0.0,1,3,0.0,4,0,3.0,,,
23,12924,General,0,4,0.0,1,3,0.0,4,3,3.0,,,
24,12926,General,0,4,2.0,1,0,0.0,0,3,0.0,,,
25,12925,General,0,4,0.0,1,1,0.0,4,3,3.0,,,
26,12927,General,0,4,2.0,3,0,0.0,0,3,0.0,,,
27,12928,General,0,4,2.0,1,0,0.0,0,3,0.0,,,
28,12929,General,0,4,2.0,3,0,0.0,0,3,0.0,,,
29,12930,General,0,2,2.0,3,1,2.0,0,1,0.0,,,
30,12931,General,3,2,2.0,3,0,2.0,0,1,0.0,,,
